t_us,x_raw,y_raw,z_raw
1301560120,263,26,-35
1301561370,267,23,-32
1301562620,267,29,-38
1301563870,265,28,-35
1301565120,265,30,-33
1301566370,266,28,-34
1301568923,265,27,-39
1301570173,267,32,-33
1301571423,270,29,-30
1301572673,271,25,-36
1301573923,268,31,-33
1301575173,268,31,-35
1301576423,265,27,-35
1301577673,264,27,-35
1301578923,267,26,-37
1301580173,267,29,-37
1301581423,264,27,-31
1301582673,264,31,-33
1301583923,267,25,-34
1301585173,269,28,-35
1301586423,262,28,-30
1301587673,265,25,-33
1301588923,264,29,-33
1301590173,266,26,-32
1301591423,265,29,-32
1301592673,266,27,-33
1301593923,265,29,-35
1301595173,267,28,-34
1301596423,264,26,-37
1301597673,268,29,-34
1301598923,267,29,-34
1301601395,266,27,-33
1301602645,269,35,-32
1301603895,266,32,-31
1301605145,268,31,-35
1301606395,267,30,-36
1301607645,271,25,-29
1301608895,265,28,-35
1301610145,265,27,-36
1301611395,265,26,-35
1301612645,267,28,-34
1301613895,268,25,-29
1301615145,267,28,-38
1301616395,265,30,-34
1301617645,267,27,-32
1301618895,267,25,-35
1301620145,267,29,-32
1301621395,267,27,-36
1301622645,261,32,-35
1301623895,267,28,-32
1301625145,268,25,-29
1301626395,267,26,-32
1301627645,269,29,-34
1301628895,265,28,-33
1301630145,264,31,-38
1301631395,266,28,-30
1301633865,265,29,-36
1301635115,267,30,-29
1301636365,276,26,-31
1301637615,263,27,-28
1301638865,269,28,-31
1301640115,270,26,-33
1301641365,268,26,-31
1301642615,266,27,-37
1301643865,266,26,-36
1301645115,264,29,-32
1301646365,265,24,-31
1301647615,266,27,-32
1301648865,264,29,-33
1301650115,267,33,-34
1301651365,264,29,-35
1301652615,266,26,-32
1301653865,261,27,-36
1301655115,265,26,-35
1301656365,262,29,-32
1301657615,268,29,-34
1301658865,267,30,-34
1301660115,266,30,-32
1301661365,265,24,-35
1301662615,265,30,-35
1301663865,267,28,-35
1301666455,264,28,-31
1301667705,270,29,-32
1301668955,265,29,-28
1301670205,268,31,-34
1301671455,266,31,-32
1301672705,268,30,-28
1301673955,267,28,-35
1301675205,264,29,-36
1301676455,268,24,-33
1301677705,266,29,-31
1301678955,268,27,-28
1301680205,261,28,-37
1301681455,264,31,-32
1301682705,266,29,-39
1301683955,269,25,-30
1301685205,265,29,-37
1301686455,264,27,-32
1301687705,266,24,-31
1301688955,264,31,-31
1301690205,266,32,-39
1301691455,268,28,-33
1301692705,267,30,-33
1301693955,264,30,-35
